mutation_type,edge_weight,capacity_delta_mw,turbine_dispersion_stddev,parent_rank,round_idx,project_id,scenario_id,feasible,total_route_length_m,evaluation.rank,evaluation.lifecycle_cost
EDGE_RECONNECT,366.0994204172398,0.0,52.12322531469043,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-004,True,14163.740749408487,13,2127451.02
EDGE_RECONNECT,193.20908916491803,0.0,14.793595240528049,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-005,True,14169.276849381988,11,2125028.6
EDGE_RECONNECT,1265.4350749658554,0.0,71.39487156368737,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-006,True,14201.458922917109,16,2129452.14
EDGE_RECONNECT,193.20908916491803,0.0,14.793595240528049,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-007,True,14203.657799758177,9,2125888.43
EDGE_RECONNECT,1714.026561306806,0.0,51.11996586125643,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-008,True,14210.28817344953,17,2127431.54
EDGE_RECONNECT,2089.0975045030395,0.0,115.0424629358964,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-009,True,14212.901494697137,15,2130523.79
FEEDER_SWAP,67.08262854356344,0.0,83.088534547422,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-010,True,14235.396943546044,24,2134550.82
FEEDER_SWAP,83.73234499671666,0.0,32.96410069973783,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-011,True,14185.495101859635,10,2123611.38
FEEDER_SWAP,86.27998790920637,0.0,32.96410069973783,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-012,True,14169.919250961715,12,2124341.41
EDGE_RECONNECT,2045.5862300894262,0.0,14.793595240528049,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-013,True,14240.927964793918,20,2136419.41
FEEDER_SWAP,103.63027910993135,0.0,64.91802908821222,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-014,True,14374.238613555517,32,2155199.94
EDGE_RECONNECT,582.0993749631235,0.0,115.0424629358964,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-015,True,14264.522084312224,21,2135219.75
EDGE_RECONNECT,2220.5774395480566,0.0,51.1346061589476,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-016,True,14283.64066332652,36,2146315.88
FEEDER_SWAP,133.23845735904345,0.0,83.088534547422,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-017,True,14297.406095387807,22,2135552.0
EDGE_RECONNECT,393.0726896243942,0.0,51.1346061589476,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-018,True,14339.567304719347,41,2151417.26
FEEDER_SWAP,188.50897657248018,0.0,32.96410069973783,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-019,True,14038.200365425808,5,2108439.02
FEEDER_SWAP,191.39149650443105,0.0,32.96410069973783,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-020,True,13950.835871127549,1,2095852.33
EDGE_RECONNECT,366.0994204172398,0.0,52.12322531469043,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-021,True,14349.919980582674,23,2149099.98
FEEDER_SWAP,211.32292596530928,0.0,64.91802908821222,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-022,True,14445.234343396804,30,2159550.42
EDGE_RECONNECT,282.2873091086942,0.0,51.11996586125643,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-023,True,14374.673194027204,29,2155452.64
FEEDER_SWAP,236.33181000426455,0.0,64.91802908821222,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-024,True,14375.685601305217,34,2152984.49
FEEDER_SWAP,259.7131350336564,0.0,64.91802908821222,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-025,True,14338.184547894538,35,2151647.86
FEEDER_REASSIGNMENT,260.0326304119653,5.0,25.5599829306373,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-026,True,14132.273881765204,2,2119268.61
FEEDER_SWAP,260.0326304119653,0.0,25.5599829306373,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-027,True,14238.382321908068,14,2134044.01
FEEDER_SWAP,261.4018357830475,0.0,32.96410069973783,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-028,True,14100.740858581323,4,2115001.9
FEEDER_SWAP,266.3031402907202,0.0,83.088534547422,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-029,True,14216.306211118768,25,2129565.58
FEEDER_SWAP,276.7511956400034,0.0,32.96410069973783,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-030,True,14073.6486161487,3,2114662.76
FEEDER_REASSIGNMENT,290.80017831340757,5.0,26.0616126573543,1.0,1,SYN-3-CLUSTERED-20,SCN-S1-031,True,14227.47647033045,19,2137099.38
